date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-02-24,Friendly,SUDAN,ETHIOPIA,1,1,970.85970175285,982.8127483960528,971.2723825532339,982.5376278624635
1967-02-24,Friendly,UGANDA,DR CONGO,0,5,889.9425442732224,918.1654699660589,880.7530833340458,931.9496613748239
1967-02-25,African Cup of Nations qualification,GUINEA,SENEGAL,3,0,871.6514111803582,933.0869364294942,895.9740242655892,916.8718610393403
1967-02-26,African Cup of Nations qualification,CAMEROON,CONGO,1,1,887.6506291956194,910.1984427764895,888.8171527992472,909.420760374071
1967-02-26,Friendly,SUDAN,ETHIOPIA,5,3,971.2723825532339,982.5376278624635,984.9002291975747,973.4523967662363
1967-02-28,Friendly,FRANCE,CORSICA,0,2,1306.9549376256687,800.0,1290.2570767032917,825.0467913835656
1967-02-28,Friendly,ETHIOPIA,SUDAN,2,1,973.4523967662363,984.9002291975747,986.4674104185626,976.2235534293573
1967-03-05,Friendly,BENIN,CONGO,1,1,874.7602325752343,909.420760374071,875.9534091502298,908.625309324074
1967-03-05,Friendly,IVORY COAST,LIBERIA,1,1,984.3829301142744,786.7963656738018,980.2676997147191,792.9692112731346
1967-03-05,CONCACAF Championship,HONDURAS,TRINIDAD AND TOBAGO,1,0,928.4245826067013,1017.2937955347514,952.0561971826189,1001.539385817473
1967-03-05,African Cup of Nations qualification,UGANDA,KENYA,2,1,880.7530833340458,977.9147891750845,904.8049341356485,961.880221974016
1967-03-06,CONCACAF Championship,HAITI,GUATEMALA,1,2,1054.4247337053346,1038.764086797754,1041.2571734730896,1058.5154271461215
1967-03-06,CONCACAF Championship,MEXICO,NICARAGUA,4,0,1355.2155179324507,699.1807244600224,1356.1828194042937,698.535856812127
1967-03-07,Friendly,LIBYA,SUDAN,1,1,890.2870279288671,976.2235534293573,893.1960858830085,974.2841814599296
1967-03-08,CONCACAF Championship,HONDURAS,NICARAGUA,1,1,952.0561971826189,698.535856812127,944.5816878477431,709.7476208144408
1967-03-08,Friendly,GREECE,ROMANIA,1,2,1032.508009749455,1271.2120036395613,1029.115086031418,1276.3013892166166
1967-03-08,CONCACAF Championship,HAITI,TRINIDAD AND TOBAGO,2,3,1041.2571734730896,1001.539385817473,1027.2230214053839,1022.5906139190315
1967-03-10,Friendly,IRAQ,SUDAN,2,2,931.6464303777065,974.2841814599296,933.1117374079655,973.3073101064235
